"alpha","eta","delta","compatible","minimum_canonical_coordinate","bootstrap_compatibility_fraction","minimum_coordinate_ci_lower","minimum_coordinate_ci_upper","compatibility_inference"
0.0025,0.01,0.05,FALSE,-0.00598061781417359,0,-0.0087221253025279,-0.000311206562177584,"rejected"
0.005,0.01,0.05,FALSE,-0.00619706652678684,0,-0.00890967854054293,-0.000540242182014738,"rejected"
0.01,0.01,0.05,FALSE,-0.00664000538713459,0,-0.0093998804855399,-0.00102767072333591,"rejected"
0.02,0.01,0.05,FALSE,-0.0075682921476506,0,-0.0105483278948778,-0.00204329719304021,"rejected"
0.05,0.01,0.05,FALSE,-0.010746309174829,0,-0.0135306010062441,-0.00489211367139442,"rejected"
0,0.02,0.05,FALSE,-0.00587743892875076,0,-0.00862372123630865,-9.27937592533259e-05,"rejected"
0.0025,0.02,0.05,FALSE,-0.00609175505375454,0,-0.00887309539726755,-0.00031930338740882,"rejected"
0.005,0.02,0.05,FALSE,-0.00630933487609341,0,-0.00906493544873193,-0.000551976933919979,"rejected"
0.01,0.02,0.05,FALSE,-0.00675458843005492,0,-0.00955866832065291,-0.00102864906233763,"rejected"
0.02,0.02,0.05,FALSE,-0.00768772619739978,0,-0.0106997249568321,-0.0020245788283443,"rejected"
0.05,0.02,0.05,FALSE,-0.0108823507891333,0,-0.0137208564109549,-0.00490885206100908,"rejected"
0,0.05,0.05,FALSE,-0.00625410623559612,0,-0.00902360100320491,-0.000160306852909907,"rejected"
0.0025,0.05,0.05,FALSE,-0.00647223666220229,0,-0.0092880987334246,-0.000350143033498165,"rejected"
0.005,0.05,0.05,FALSE,-0.00669368887195474,0,-0.00955174663072322,-0.00054377392417209,"rejected"
0.01,0.05,0.05,FALSE,-0.00714686684758217,0,-0.0101058113447427,-0.000941029528236518,"rejected"
0.02,0.05,0.05,FALSE,-0.00809661217948223,0,-0.0111106977629456,-0.00195863147790464,"rejected"
0.05,0.05,0.05,FALSE,-0.0113480932569283,0,-0.0142788858250141,-0.00480710636528714,"rejected"
