"replicate","witness_bits"
609,0.0153468899642553
610,0.0128713228443424
611,0.0192788940953323
612,0.0144729080912285
613,0.0174233062245463
614,0.0158465988347258
615,0.0281888167030792
616,0.00768570092983881
617,0.0127970523702918
618,0.00896072919126452
619,0.0325209545028901
620,0.0195373167598087
621,0.0176962475831611
622,0.0281255757399729
623,0.0213133644270201
624,0.0169123642990201
625,0.0154226465628674
626,0.0413668492248767
627,0.0214936828122137
628,0.0263212597135832
629,0.0119698668256185
630,0.0155501554950358
631,0.0243356634173909
632,0.0149281459616441
633,0.01678192056745
634,0.0131330908093211
635,0.0173746996443407
636,0.0175149355011276
637,0.0153034949718277
638,0.00941428444812699
639,0.0192037870691893
640,0.0196070580994505
641,0.0199370079000146
642,0.0251223181283922
643,0.0138779902567514
644,0.0264587292016774
645,0.0278158425892215
646,0.0218863188802839
647,0.0180708053069373
648,0.0162744939579395
649,0.0197782706670342
650,0.0198999042112742
651,0.0300503601005408
652,0.0227235144030652
653,0.018449831481712
654,0.0119457320827868
655,0.0181847782648015
656,0.0307577002154539
657,0.0111696571518843
658,0.0174860325363368
659,0.0268976053493136
660,0.0317222008159682
661,0.0167815269023505
662,0.0297775036822657
663,0.0149934156077168
664,0.0253085347967104
665,0.0183401181470206
666,0.0183591013797786
667,0.0180744590853039
668,0.0357268036793656
669,0.00922690061565622
670,0.0174548294482353
671,0.0189811238255558
672,0.0161716830923309
673,0.0123661437993416
674,0.0262316801100396
675,0.0186650054230464
676,0.0221243958330483
677,0.0162227937122855
678,0.0153613812338822
679,0.0138317123839135
680,0.0184925083145142
681,0.0239805575776369
682,0.0176535150661199
683,0.0116756896819326
684,0.0203878246674439
685,0.0365709858090361
686,0.0235026234720025
687,0.02601281275479
688,0.0261813661550941
689,0.017406421376773
690,0.0179420504901939
691,0.0163677382698478
692,0.0254030559705551
693,0.025878398544732
694,0.027622160643759
695,0.0242946008424075
696,0.0163702763684669
697,0.0237800964907562
698,0.0112914415461436
699,0.0176423703080663
700,0.0136347734777471
701,0.024414767588526
702,0.0236024569338925
703,0.0218548914023369
704,0.022600017020796
705,0.024616492481452
706,0.0177642577016804
707,0.0225219174770566
708,0.0198745532787665
709,0.0155556535064464
710,0.0171028140715476
711,0.0103765207540807
712,0.0173011586177644
713,0.0108332741143207
714,0.0200337679064918
715,0.0195647931515541
716,0.0201371322679626
717,0.0275717996026008
718,0.0188053420883249
719,0.0143879323369053
720,0.0168276918193168
721,0.0216813506902287
722,0.0192534173867162
723,0.019505785120003
724,0.0152052045430392
725,0.0145503174693189
726,0.00981689673943385
727,0.0307641788953864
728,0.0146172579208323
729,0.0197344995698772
730,0.0114453082334538
731,0.0124869325263477
732,0.0238054111141434
733,0.0195873855451005
734,0.0233291935441647
735,0.0160570519022858
736,0.0184895675961728
737,0.020826399184144
738,0.0249024097830034
739,0.0174620863407723
740,0.0114748002277096
741,0.0132554009883671
742,0.014663617598814
743,0.0178847887870391
744,0.016382849083363
745,0.0164865352458845
746,0.0226941671269693
747,0.022017877534261
748,0.018414655592849
749,0.0270000869575461
750,0.0132688141521063
751,0.021392598200274
752,0.0299992671895558
753,0.0218724017502985
754,0.0133511173490337
755,0.0161816916358573
756,0.0152299186875075
757,0.0173247134070758
758,0.0107318250750809
759,0.0160324663205909
760,0.0133047072054709
761,0.0152233134415531
762,0.0138042013733689
763,0.0197289857640055
764,0.0167864319360479
765,0.0169236502957194
766,0.0164158307233548
767,0.0186753932503267
768,0.0185146433983814
769,0.0248492783676821
770,0.0267271151348856
771,0.0193984337916938
772,0.0148273265078153
773,0.012979938423185
774,0.0191836034528301
775,0.0140751101175865
776,0.0257726529858823
777,0.018342434838964
778,0.0370564612158989
779,0.0156622718637998
780,0.0278877450090466
781,0.0155205385722536
782,0.0171427349249221
783,0.0246075412737134
784,0.0207955230733699
785,0.0266140347346698
786,0.0200940111128512
787,0.0179127245253691
788,0.0101808593614528
789,0.0156102754462405
