"row_id","participant_id","analysis_weight","T","Y","M","C"
"257","px_02a8787a5fffa82a","0.0075187969924812","3","3","3","quality_high"
"258","px_2305504e66504860","0.00952380952380952","1","1","3","quality_low"
"259","px_2305504e66504860","0.00952380952380952","1","1","3","quality_low"
"260","px_2305504e66504860","0.00952380952380952","1","1","3","quality_low"
"261","px_2305504e66504860","0.00952380952380952","1","2","3","quality_low"
"262","px_2305504e66504860","0.00952380952380952","2","1","3","quality_low"
"263","px_2305504e66504860","0.00952380952380952","1","1","3","quality_low"
"264","px_2305504e66504860","0.00952380952380952","1","3","2","quality_low"
"265","px_2305504e66504860","0.00952380952380952","3","1","2","quality_low"
"266","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"267","px_2305504e66504860","0.00952380952380952","1","1","3","quality_low"
"268","px_2305504e66504860","0.00952380952380952","1","1","3","quality_low"
"269","px_2305504e66504860","0.00952380952380952","1","1","3","quality_low"
"270","px_2305504e66504860","0.00952380952380952","1","1","3","quality_low"
"271","px_2305504e66504860","0.00952380952380952","1","2","2","quality_low"
