"alpha","eta","delta","compatible","minimum_canonical_coordinate","negative_coordinate_count","observable_witness_bits","conditional_entropy_y_given_t_c_bits","sharp_lower_bits","sharp_upper_bits","lower_minus_witness_bits","design_id"
0.005,0.01,0.0025,TRUE,9.41829810430253e-05,0,0.00931938944898363,0.344913562819948,0.0102189701758312,0.299498870486154,0.00089958072684757,"age2_M2_T4"
0.01,0.01,0.0025,FALSE,-3.68207616370382e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.01,0.0025,FALSE,-0.00153885781765815,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.01,0.0025,FALSE,-0.0109766589454037,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.02,0.0025,TRUE,0.00014437813602442,0,0.00931938944898363,0.344913562819948,0.0112022385834447,0.344913562819948,0.00188284913446104,"age2_M2_T4"
0.0025,0.02,0.0025,TRUE,0.00011303755540975,0,0.00931938944898363,0.344913562819948,0.0112022385834447,0.319701696927014,0.00188284913446104,"age2_M2_T4"
0.005,0.02,0.0025,TRUE,8.13804032737205e-05,0,0.00931938944898363,0.344913562819948,0.0112022385834447,0.299498870486154,0.00188284913446104,"age2_M2_T4"
0.01,0.02,0.0025,FALSE,-4.93045162646409e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.02,0.0025,FALSE,-0.00156212406275786,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.02,0.0025,FALSE,-0.0110408522706865,8,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.05,0.0025,FALSE,-0.00259981475718897,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.0025,0.05,0.0025,FALSE,-0.00263757324949929,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.005,0.05,0.0025,FALSE,-0.00267571314072184,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
